RollNo,Gender,Math_Marks,Science_Marks,Arts_Marks,Study_Hours_Per_Week,Recommended_Stream
2259,Female,67,89,97,35,Technical
3408,Male,80,81,77,31,Technical
2694,Female,80,81,93,36,Technical
434,Male,86,46,72,30,Technical
2088,Male,58,96,43,22,Technical
3151,Male,77,98,88,25,Technical
857,Female,96,68,30,14,Technical
1900,Male,87,53,26,10,Technical
4645,Female,56,54,39,11,Technical
4796,Female,83,41,67,8,Technical
4111,Female,58,87,86,8,Technical
4888,Male,42,52,76,15,Academic
898,Male,92,64,65,14,Technical
3643,Male,62,66,78,22,Technical
4666,Female,48,39,55,32,Academic
1070,Male,91,39,46,11,Technical
468,Female,96,48,74,38,Technical
571,Male,32,70,88,25,Academic
1563,Male,99,92,76,22,Technical
283,Female,99,94,42,23,Technical
818,Female,88,58,73,40,Technical
3486,Female,96,86,53,4,Technical
755,Male,46,55,72,15,Technical
1149,Female,88,63,54,18,Technical
2495,Male,76,68,28,21,Technical
3622,Male,57,50,76,33,Technical
3255,Male,33,82,56,26,Technical
3022,Female,77,41,81,33,Technical
2212,Male,50,91,74,25,Technical
5104,Male,37,35,55,18,Technical
2824,Male,59,52,92,13,Technical
4668,Male,95,75,35,26,Technical
810,Female,58,44,54,39,Technical
2810,Male,91,88,45,22,Technical
886,Female,63,77,37,35,Technical
2141,Female,59,67,99,39,Technical
1636,Male,43,65,70,31,Technical
5130,Female,82,69,60,9,Technical
1214,Female,58,59,99,40,Technical
4505,Female,53,41,99,35,Academic
4050,Male,83,70,68,7,Technical
4820,Female,82,49,52,26,Technical
1336,Male,87,55,87,21,Technical
2052,Male,93,41,44,8,Technical
4071,Female,89,44,55,28,Technical
3127,Female,66,79,34,18,Technical
4048,Female,47,43,60,39,Academic
2438,Male,58,53,74,8,Technical
3358,Female,74,68,95,22,Technical
1471,Female,44,67,69,40,Technical
1167,Female,93,88,100,14,Technical
5039,Female,60,54,60,22,Technical
5564,Male,39,42,44,33,Academic
4748,Male,36,68,43,28,Technical
1460,Female,95,44,41,30,Academic
1199,Female,42,42,40,26,Technical
747,Male,45,78,44,33,Technical
5381,Female,59,92,48,20,Technical
2501,Male,58,71,33,34,Academic
3098,Male,87,79,25,4,Technical
2134,Female,33,95,62,17,Technical
175,Female,93,68,86,17,Academic
5275,Male,76,40,50,27,Technical
307,Male,88,79,69,34,Technical
1670,Male,49,38,89,14,Academic
5030,Female,72,58,77,33,Technical
1273,Female,75,76,76,20,Technical
