RollNo,Gender,Math_Marks,Science_Marks,Arts_Marks,Study_Hours_Per_Week,Recommended_Stream
2259, Female,67.0,89.0,97.0,35.0,Technical
3408,Male,80.0,81.0,77.0,31.0,Technical
2694,Female,80.0,81.0,93.0,36.0,Technical
434,Male,86.0,46.0,72.0,30.0,Technical
1055,FEMALE,71.0,87.0,31.0,29.0,
4193,,39.0,45.0,52.0,26.0,Academic
2088,male,58.0,96.0,43.0,,Technical
3151,Male,77.0,98.0,88.0,25.0,Technical
2481,,41.0,92.0,41.0,28.0,Technical
857,Female,96.0,,30.0,14.0,Technical
1900,Male,87.0,53.0,26.0,10.0,Technical
4645,FEMALE,56.0,54.0,39.0,11.0,Technical 
4796,Female,83.0,41.0,67.0,8.0,Technical
4111, Female,58.0,87.0,86.0,8.0,Technical
4888,male,42.0,52.0,76.0,15.0,Academic
898,Male ,92.0,64.0,65.0,14.0,Technical
3643,Male,62.0,66.0,78.0,22.0,Technical
4666,Female,48.0,39.0,55.0,32.0,Academic
1070,Male,91.0,39.0,46.0,11.0,Technical
468,Female,96.0,48.0,74.0,38.0,Technical
571,Male,32.0,70.0,88.0,25.0,Academic
1563,Male,99.0,92.0,76.0,22.0,Technical
283,Female,99.0,94.0,42.0,23.0,Technical
818,Female,88.0,58.0,73.0,40.0,Technical
2682,Female,-15.0,98.0,82.0,16.0,Technical
3486,Female,96.0,86.0,53.0,4.0,Technical
755,Male,46.0,55.0,72.0,15.0,Technical
1149,Female,88.0,63.0,54.0,18.0,Technical 
2495,male,76.0,,28.0,21.0,Technical
3622,Male,57.0,50.0,76.0,33.0,Technical
3255,Male,33.0,82.0,56.0,26.0,Technical
3022,Female,77.0,41.0,81.0,33.0,Technical
2212,Male,50.0,91.0,74.0,25.0,Technical
5104,Male,37.0,35.0,55.0,18.0,Technical 
2824,male,59.0,52.0,92.0,13.0,Technical 
4668,Male,95.0,75.0,35.0,26.0,Technical
810,Female,58.0,44.0,54.0,39.0,Technical
2810,Male,91.0,88.0,45.0,,Technical
886,Female,63.0,77.0,37.0,35.0,Technical
2141,Female,59.0,67.0,99.0,39.0,Technical
1636,Male,43.0,65.0,70.0,31.0,Technical
5130,FEMALE,82.0,69.0,60.0,9.0,Technical
1214,FEMALE,58.0,59.0,99.0,40.0,Technical
4505,Female,53.0,41.0,99.0,35.0,Academic
4050,Male,83.0,70.0,68.0,7.0,technical
4820,Female,82.0,49.0,52.0,26.0,Technical
1336,Male,87.0,55.0,87.0,21.0,Technical
2052,Male,93.0,41.0,44.0,8.0,Technical
4071,Female,89.0,44.0,55.0,28.0,Technical
3127,Female,66.0,79.0,34.0,18.0,Technical
4048,Female,47.0,43.0,60.0,39.0,Academic
2438,Male,58.0,53.0,74.0,8.0,Technical
3358, Female,74.0,68.0,95.0,22.0,Technical
